S:	H:C1	H:C2	H:C3	H:C4	H:C5	H:C6	H:C7	H:C8	H:C9	H:C10	H:C11	H:C12	H:C13	H:C14	H:C15	H:C16	H:C17	H:C18	H:C19	H:C20	H:C21	H:C22	H:C23	H:C24	H:C25	$COV:sexe	$COV:espece	$COV:site
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site292
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site295
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site297
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site299
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site34
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site37
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site615
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site621
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site622
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	F	TURMER	site637
